0.000000,150000000000.000000,0.000000,384400000.000000
642581732.311774,149998623666.944733,21995043.387677,383773808.865940
1285151672.253137,149994494699.343933,43918119.474807,381897692.287767
1927698027.656608,149987613172.956696,65697490.607281,378777596.215340
2570209006.787634,149977979214.051361,87261910.609055,374423485.589295
3212672818.561052,149965592999.403198,108540868.654178,368849317.782945
3855077672.757545,149950454756.291229,129464828.727303,362073002.432320
4497411780.240071,149932564762.493988,149965463.464153,354116347.836802
5139663353.170287,149911923346.284424,169975881.358961,345004994.278489
5781820605.224936,149888530886.423981,189430846.533272,334768334.736378
6423871751.812209,149862387812.155518,208266990.465128,323439423.554907
7065805010.288083,149833494603.195557,226423015.266382,311054873.663064
7707608600.172613,149801851789.725342,243839888.257782,297654742.931967
8349270743.366189,149767459952.381287,260461027.718211,283282410.211290
8990779664.365747,149730319722.244141,276232479.770945,267984441.506225
9632123590.480936,149690431780.827576,291103086.413688,251810446.657497
10273290752.050226,149647796860.065552,305024644.701265,234812926.778399
10914269382.656971,149602415742.298981,317952057.053553,217047112.596975
11555047719.345400,149554289260.261353,329843472.592245,198570793.759558
12195614002.836550,149503418297.063416,340660419.316013,179444139.084612
12835956477.744133,149449803786.177002,350367926.813757,159729507.722091
13476063392.790329,149393446711.417938,358934639.100098,139491251.180749
14115923001.021503,149334348106.927917,366332917.046803,118795506.238745
14755523560.023842,149272509057.155609,372538929.789109,97709978.853892
15394853332.138905,149207930696.836731,377532734.416877,76303719.338212
16033900584.679096,149140614210.973175,381298343.225951,54646889.253237
16672653590.143036,149070560834.811371,383823777.811511,32810520.710325
17311100626.430836,148997771853.819519,385101109.336794,10866269.013580
17949229977.059280,148922248603.664063,385126484.408045,-11113840.152125
18587029931.376907,148843992470.185211,383900136.127292,-33057667.525342
19224488784.778961,148763004889.371460,381426380.072116,-54893219.364413
19861594838.922268,148679287347.333252,377713595.156073,-76548906.940076
20498336401.939957,148592841380.275757,372774189.542010,-97953804.391556
21134701788.656097,148503668574.470581,366624551.998197,-119037902.850602
21770679320.800186,148411770566.226807,359284989.288214,-139732358.759909
22406257327.221523,148317149041.860840,350779650.354628,-159969734.423859
23041424144.103447,148219805737.665588,341136438.180509,-179684229.028565
23676168115.177437,148119742439.878479,330386910.282018,-198811898.645395
24310477591.937084,148016960984.648804,318566168.794710,-217290864.071204
24944340933.851906,147911463258.003998,305712741.065960,-235061505.737184
25577746508.581024,147803251195.814941,291868451.562008,-252066645.310350
26210682692.186684,147692326783.760590,277078285.751510,-268251713.989400
26843137869.347626,147578692057.291473,261390246.453355,-283564907.833147
27475100433.572292,147462349101.592285,244855202.953018,-297957330.731661
28106558787.411877,147343300051.543762,227526733.017933,-311383125.820157
28737501342.673195,147221547091.683411,209460957.796676,-323799596.233334
29367916520.631405,147097092456.165466,190716369.484919,-335167316.101381
29997792752.242531,146969938428.719910,171353651.594763,-345450232.604332
30627118478.355827,146840087342.610504,151435491.679452,-354615759.742515
31255882149.925945,146707541580.592133,131026386.443095,-362634864.266942
31884072228.224922,146572303574.866913,110192439.299317,-369482143.967936
32511677185.053974,146434375807.039642,89001150.622889,-375135898.268073
33138685502.955109,146293760808.072357,67521201.149377,-379578190.830659
33765085675.422520,146150461158.237732,45822229.201871,-382794903.698479
34390866207.113792,146004479487.071838,23974602.642398,-384775782.335541
35016015614.060890,145855818473.325928,2049186.640810,-385514470.866815
35640522423.880966,145704480844.917206,-19882891.489358,-385008536.800696
36264375175.986908,145550469378.878845,-41750479.031858,-383259484.572455
36887562421.797714,145393786901.308990,-63482634.779319,-380272757.355030
37510072724.948616,145234436287.318939,-85008864.717686,-376057726.732351
38131894661.500992,145072420460.980408,-106259355.149622,-370627670.003653
38753016820.152054,144907742395.271820,-127165202.035065,-363999735.067598
39373427802.444275,144740405112.023865,-147658635.476822,-356194893.006229
39993116222.974617,144570411681.863953,-167673238.453964,-347237878.636820
40612070709.603500,144397765224.159943,-187144159.092183,-337157119.413927
41230279903.663513,144222468906.962891,-206008315.944903,-325984653.137761
41847732460.167908,144044525946.948944,-224204595.929663,-313756034.955783
42464417048.018822,143863939609.360352,-241674044.710666,-300510234.133523
43080322350.215233,143680713207.945465,-258360049.432578,-286289521.022605
43695437064.060684,143494850104.898041,-274208513.787220,-271139344.576285
44309749901.370720,143306353710.795532,-289168025.431338,-255108200.664658
44923249588.680061,143115227484.536469,-303190015.769996,-238247491.333712
45535924867.449532,142921474933.277100,-316228912.079173,-220611375.045485
46147764494.272659,142725099612.366943,-328242281.867451,-202256607.841856
46758757241.082062,142526105125.283630,-339190969.277157,-183242375.302069
47368891895.355492,142324495123.566803,-349039223.208225,-163630115.123363
47978157260.321632,142120273306.751068,-357754816.722935,-143483330.152575
48586542155.165588,141913443422.298157,-365309157.166785,-122867391.740068
49194035415.234093,141704009265.528198,-371677386.330587,-101849333.379165
49800625892.240402,141491974679.550079,-376838469.891660,-80497634.735023
50406302454.468887,141277343555.190887,-380775275.316772,-58881996.354223
51011053986.979355,141060119830.924622,-383474637.394059,-37073105.574326
51614869391.811005,140840307492.799896,-384927410.590519,-15142394.412293
52217737588.186134,140617910574.366821,-385128507.508346,6838209.510900
52819647512.713463,140392933156.602966,-384076922.836062,28796537.670210
53420588119.591202,140165379367.838593,-381775742.354368,50660439.354525
54020548380.809738,139935253383.680786,-378232136.753231,72358042.562554
54619517286.354050,139702559426.936981,-373457340.234149,93818015.055497
55217483844.405724,139467301767.537445,-367466614.095199,114969823.434116
55814437081.544716,139229484722.456909,-360279195.710490,135743988.079855
56410366042.950699,138989112655.635437,-351918233.503950,156072331.862927
57005259792.604111,138746189977.898315,-342410708.665261,175888220.676277
57599107413.486862,138500721146.875183,-331787344.451899,195126794.096843
